phlorest_taxa_id,lexibank_taxa_id
JE24_Kerebe,je24kerebe
JE25_Jita,je25jita
JE25_Kilegi,je25kilegi
JE25_Mkwaya,je25mkwaya
JE31_Lumasaaba,je31lumasaaba
JE31c_Bukusu,je31cbukusu
JE32_Luyia,je32luyia
JE34_Samialugwe,je34samialugwe
JE401_Ngoreme,je401ngoreme
JE402_Ikizu,je402ikizu
JE403_Suba,je403suba
JE404_Shasi,je404shasi
JE41_Maragoli,je41maragoli
JE42_Gusii,je42gusii
JE43_Kuria,je43kuria
JE43_Kuria_Mago,je43kuriamago
JE43_Kuria_Tari,je43kuriatari
JE44_Zanaki,je44zanaki
JE45_Nata,je45nata
K11_Ciokwe,k11ciokwe
K14_Lwena,k14lwena
K15_Mbunda,k15mbunda
K21_Lozi,k21lozi
K31_Luyana,k31luyana
K332_Rumanyo,k332rumanyo
K33_Kwangali,k33kwangali
Kom_Grassfields,komgrassfields
Kulung_Jarawan,kulungjarawan
L11_Pende,l11pende
L12b_Holu,l12bholu
L13_Kwese,l13kwese
L221_Lwalwa,l221lwalwa
L23_Songe,l23songe
L31a_Luba_Kasai,l31alubakasai
L32_Kanyok,l32kanyok
L33_Luba_Shaba,l33lubashaba
L34_Hemba,l34hemba
L35_Sanga,l35sanga
L41_Kaonde,l41kaonde
L51_Salampasu,l51salampasu
L52_Lunda,l52lunda
L53_Runda,l53runda
L62_Nkoya,l62nkoya
M11_Pimbwe,m11pimbwe
M12_Lungwa,m12lungwa
M13_Fipa,m13fipa
M14_Rungu,m14rungu
M15_Mambwe,m15mambwe
M21_Ndali,m21ndali
M21_Wanda,m21wanda
M22_Namwanga,m22namwanga
M23_Nyiha,m23nyiha
M24_Malila,m24malila
M25_Safwa,m25safwa
M28_Lambya,m28lambya
M31_Nyakyusa,m31nyakyusa
M41_Taabwa,m41taabwa
M42_Bemba,m42bemba
M52_Lala,m52lala
M54_Lamba,m54lamba
M61_Lenje,m61lenje
M62_Soli,m62soli
M64_Tonga,m64tonga
Mbula_Jarawan,mbulajarawan
Moghamo_Grassfields,moghamograssfields
Mungaka_Grassfields,mungakagrassfields
N11_Manda,n11manda
N12_Ngoni,n12ngoni
N13_Matengo,n13matengo
N14_Mpoto,n14mpoto
N21_Tumbuka_Malawi,n21tumbukamalawi
N31_Chewa,n31chewa
N42_Kunda,n42kunda
